torque,feed
1.532,-288.000
1.832,-288.000
1.832,-288.000
1.752,-288.000
1.752,-288.000
1.526,-288.000
1.526,-288.000
1.423,-288.000
1.423,-288.000
1.575,-288.000
1.575,-288.000
1.648,-288.000
1.648,-288.000
1.697,-288.000
1.697,-288.000
1.697,-288.000
1.691,-288.000
1.691,-288.000
1.642,-288.000
1.642,-288.000
1.441,-288.000
1.441,-288.000
1.606,-288.000
1.606,-288.000
1.618,-288.000
1.618,-288.000
1.893,-288.000
1.893,-288.000
1.880,-288.000
1.880,-288.000
1.838,-288.000
1.838,-288.000
1.264,-288.000
1.264,-288.000
1.264,-288.000
1.392,-288.000
1.392,-288.000
1.685,-288.000
1.685,-288.000
1.484,-288.000
1.484,-288.000
1.795,-288.000
1.795,-288.000
1.563,-288.000
1.563,-288.000
1.233,-288.000
1.233,-288.000
1.624,-288.000
1.624,-288.000
1.447,-288.000
1.447,-288.000
1.703,-288.000
1.703,-288.000
1.618,-288.000
1.618,-288.000
1.459,-288.000
1.459,-288.000
1.520,-288.000
1.520,-288.000
1.789,-288.000
1.789,-288.000
1.569,-288.000
1.569,-288.000
1.795,-288.000
1.795,-288.000
1.691,-288.000
1.691,-288.000
1.374,-288.000
1.374,-288.000
1.374,-288.000
1.624,-288.000
1.624,-288.000
1.612,-288.000
1.612,-288.000
1.569,-288.000
1.569,-288.000
1.655,-288.000
1.655,-288.000
1.569,-288.000
1.569,-288.000
1.374,-288.000
1.374,-288.000
1.587,-288.000
1.587,-288.000
1.801,-288.000
1.801,-288.000
1.740,-288.000
1.740,-288.000
1.532,-288.000
1.532,-288.000
1.722,-288.000
1.722,-288.000
1.343,-288.000
1.343,-288.000
1.343,-288.000
1.392,-288.000
1.392,-288.000
1.771,-288.000
1.771,-288.000
1.801,-288.000
1.801,-288.000
1.777,-288.000
1.777,-288.000
1.673,-288.000
1.673,-288.000
1.288,-288.000
1.288,-288.000
1.819,-288.000
1.819,-288.000
1.587,-288.000
1.587,-288.000
1.716,-288.000
1.716,-288.000
1.624,-288.000
1.624,-288.000
1.484,-288.000
1.484,-288.000
1.813,-288.000
1.813,-288.000
1.642,-288.000
1.642,-288.000
1.709,-288.000
1.709,-288.000
1.935,-288.000
1.935,-288.000
1.539,-288.000
1.539,-288.000
1.539,-288.000
1.728,-288.000
1.728,-288.000
1.520,-288.000
1.520,-288.000
1.575,-288.000
1.575,-288.000
1.801,-288.000
1.801,-288.000
2.002,-288.000
2.002,-288.000
1.563,-288.000
1.563,-288.000
1.301,-288.000
1.301,-288.000
1.722,-288.000
1.722,-288.000
1.471,-288.000
1.471,-288.000
1.636,-288.000
1.636,-288.000
1.874,-288.000
1.874,-288.000
1.874,-288.000
1.734,-288.000
1.734,-288.000
1.636,-288.000
1.636,-288.000
1.551,-288.000
1.551,-288.000
1.862,-288.000
1.862,-288.000
1.423,-288.000
1.423,-288.000
1.856,-288.000
1.856,-288.000
1.673,-288.000
1.673,-288.000
1.471,-288.000
1.471,-288.000
1.752,-288.000
1.752,-288.000
1.764,-288.000
1.764,-288.000
1.996,-288.000
1.996,-288.000
2.094,-288.000
2.094,-288.000
2.094,-288.000
1.551,-288.000
1.551,-288.000
1.740,-288.000
1.740,-288.000
1.520,-288.000
1.520,-288.000
1.575,-288.000
1.575,-288.000
1.807,-288.000
1.807,-288.000
1.667,-288.000
1.667,-288.000
1.587,-288.000
1.587,-288.000
1.502,-288.000
1.502,-288.000
1.355,-288.000
1.355,-288.000
1.404,-288.000
1.404,-288.000
1.404,-288.000
1.813,-288.000
1.813,-288.000
1.966,-288.000
1.966,-288.000
1.709,-288.000
1.709,-288.000
1.709,-288.000
1.709,-288.000
1.520,-288.000
1.520,-288.000
1.429,-288.000
1.429,-288.000
1.764,-288.000
1.764,-288.000
1.746,-288.000
1.746,-288.000
1.758,-288.000
1.758,-288.000
1.532,-288.000
1.532,-288.000
1.532,-288.000
1.764,-288.000
1.764,-288.000
1.594,-288.000
1.594,-288.000
1.716,-288.000
1.716,-288.000
1.703,-288.000
1.703,-288.000
1.722,-288.000
1.722,-288.000
1.709,-288.000
1.709,-288.000
1.417,-288.000
1.417,-288.000
1.844,-288.000
1.844,-288.000
1.557,-288.000
1.557,-288.000
1.673,-288.000
1.673,-288.000
1.868,-288.000
1.868,-288.000
2.039,-288.000
2.039,-288.000
1.435,-288.000
1.435,-288.000
1.435,-288.000
1.557,-288.000
1.557,-288.000
1.655,-288.000
1.655,-288.000
1.636,-288.000
1.636,-288.000
2.112,-288.000
2.112,-288.000
1.539,-288.000
1.539,-288.000
1.459,-288.000
1.459,-288.000
1.459,-288.000
1.459,-288.000
1.703,-288.000
1.703,-288.000
1.905,-288.000
1.905,-288.000
1.972,-288.000
1.972,-288.000
1.691,-288.000
1.691,-288.000
1.392,-288.000
1.392,-288.000
1.685,-288.000
1.685,-288.000
1.923,-288.000
1.923,-288.000
1.923,-288.000
1.606,-288.000
1.606,-288.000
1.569,-288.000
1.569,-288.000
1.642,-288.000
1.642,-288.000
1.496,-288.000
1.496,-288.000
1.600,-288.000
1.600,-288.000
